id,pid,name,description,unit,time,score,error,uncertainty,feature_id,metric_id,observation_id
52,919b1386-94e0-495e-99a6-63b9f430b390,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.022829478659548205,N/A,0,55,1,1
53,69b57082-9ba4-4675-bd95-7c9f09ba8c74,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,17.390127551020406,N/A,0,56,1,1
54,daf0a26a-ee73-4064-8199-c59da8961db0,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,3.2195421543357376e-05,N/A,0,57,1,1
55,26df8263-e708-48b9-8754-e839727ae610,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,2.381903606404415e-05,N/A,0,58,1,1
56,c2ea9746-a018-4091-bced-2b228d837d57,wasserstein_distance,"",percent,2012-04-08 00:00:00+00,0.0037755102040815114,N/A,0,59,1,1
57,2f827505-c1ef-4ef2-9ce1-6d4118955949,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,425.0401785714288,N/A,0,31,1,1
58,43c030da-21dc-48cf-8757-6d1f6a77e8f9,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.7665306122449005,N/A,0,32,1,1
59,2ba5272f-6199-449b-bee3-88014f9370d3,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.3807765306122448,N/A,0,33,1,1
60,0e45bedc-a2cd-4b29-84c1-a48d55f2d4b9,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,14.053191326530627,N/A,0,34,1,1
61,892d848a-6cf9-4aeb-86cf-6fdbb05d766b,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.6088775510204079,N/A,0,35,1,1
62,0500fa28-ffdf-4ea1-a8ac-5c627f4d033d,wasserstein_distance,"",percent,2012-04-09 00:00:00+00,0.2304591836734692,N/A,0,36,1,1
63,efd054a6-1260-4a75-b362-70967efb53d5,jensenshannon,"",percent,2012-04-09 00:00:00+00,0.04376727820131177,N/A,0,37,2,1
